incident_date,company,city,state,zipcode
4/28/17,PROWLER RECOVERY,PLANTATION,FL,33324
2/27/17,EDJ Service LLC,DAVIE,FL,33328
10/11/14,ARC Broward,Southwest Ranches,FL,33330
8/1/13,T & R Painting Specialist,Sunrise,FL,33351
12/2/09,Raymond F. Kravits Center for Performing Arts,West Palm Beach,FL,33401
8/2/12,Best-Tec Asbestos Abatement Inc.,West Palm Beach,FL,33401
9/1/16,Ceco Concrete Construction LLC,West Palm Beach,FL,33401
5/15/12,Coastal Chemical,Lake Park,FL,33403
5/23/13,Shoreline Foundation,Riviera Beach,FL,33404
4/15/16,The Zoological Society of the Palm Beaches Inc.,West Palm Beach,FL,33405
8/6/16,Concrete Experts Inc,West Palm Beach,FL,33406
11/13/12,Barnett Management,West Palm Beach,FL,33409
8/15/16,MAC Appliance Repair LLC,West Palm Beach,FL,33409
1/9/17,Amusements of Rochester Inc.,BEACH,FL,33411
12/7/11,Road Safe Traffic Systems,Naples,FL,33412
8/7/13,Clintar Groundskeeping Florida LLC,Green Acres,FL,33413
3/22/17,Area Wide Protective Inc.,BEACH,FL,33413
2/13/13,SCC Cabinets Inc.,Wellington,FL,33414
3/23/12,Troon Golf LLC,Palm Beach Gardens,FL,33418
1/2/12,Emerald Transportation Corporation,Boynton Beach,FL,33426
10/3/14,Altima Lighting Inc.,Boynton Beach,FL,33426
11/16/09,Big Lade Planting,Belle Glade,FL,33430
1/24/13,Moss Transportation Services,Belle Glade,FL,33430
2/13/13,Professional Service Industries Inc.,Belle Glade,FL,33430
11/27/14,YCO Labor Corporation,Belle Glade,FL,33430
3/21/12,A & D Air Conditioning & Refrigeration Inc.,Boca Raton,FL,33432
4/2/12,MDL Property Management Inc.,Boynton Beach,FL,33437
1/10/11,J & J Ag Products Inc.,Clewiston,FL,33440
5/24/12,Applied Aquatic Management Inc.,Clewiston,FL,33440
12/21/15,J & J Ag Products Inc.,Clewiston,FL,33440
2/4/16,Just Right Inc.,Lewiston,FL,33440
12/12/11,Reillys Tree Cutting Service,Deerfield Beach,FL,33441
4/17/12,General Asphalt Co. Inc.,Deerfield Beach,FL,33441
9/17/16,Olen Waldrep & Sons Roofing Inc,Deerfield Beach,FL,33441
10/18/16,Sanchez Arango Construction Co,"Beach,",FL,33441
5/26/15,J J M Electric Inc.,Deerfield Beach,FL,33442
3/7/17,Ellis Brothers LLC.,BEACH,FL,33446
1/28/11,Advanced Roofing Inc.,Hobe Sound,FL,33455
1/5/10,Loveland Electric,Inc. Jupiter,FL,33458
10/4/10,Ortiz Lawn Maintenance Service,West Palm Beach,FL,33461
12/6/11,Prudencio Pereda,Palm Springs,FL,33461
8/17/12,Waste Pro USA Inc.,Loxahatchee,FL,33470
12/19/16,RKC Land Development,LOXAHATCHEE,FL,33470
4/21/11,Roofing Concepts Unlimited/Florida,Boynton Beach,FL,33472
12/29/11,Native Power,Jupiter,FL,33477
12/28/14,Michael Munion,Palm Beach,FL,33478
12/12/16,PRINCE LAND,JUPITER,FL,33478
12/15/12,Groves Building and Design LLC,Palm Beach,FL,33480
5/11/10,Signature Landscape Design & Irrigation,Boyton Beach,FL,33484
5/30/16,Tropical Landscape Lawn Care Inc,Boca Raton,FL,33486
7/26/12,Colors Construction Inc.,Boca Raton,FL,33487
3/28/16,Okeelanta Corp,South Bay,FL,33493
4/12/17,Emerald Towing,RATON,FL,33498
6/14/11,Pepper Contracting Services,Brandon,FL,33511
12/31/10,Contreras Brothers Trucking,Dade City,FL,33525
5/11/16,HDR/ICA,Lutz,FL,33558
8/8/15,Panera Bread,Lutz,FL,33559
6/27/12,Florida Natives Nursery Inc.,Englewood,FL,33565
6/8/10,Trafalgar Supply Company,Plant City,FL,33566
4/21/11,Sprouse Farms,Plant City,FL,33567
8/7/13,Decorative Home Services LLC,Sun City Center,FL,33571
10/3/12,M. K. Construction Group Inc.,Apollo Beach,FL,33572
9/9/15,SPE Utility Contractors LLC,Seffner,FL,33583
2/22/16,320 Smokey Mountain Road,SEFFNER,FL,33583
11/29/11,Sigma Services,Plant City,FL,33596
8/20/12,Woodruff & Sons Inc.,Tampa,FL,33601
6/7/10,Tampa Electric Company,Tampa,FL,33602
10/23/12,Ports America Tampa LLC.,Tampa,FL,33605
4/11/13,Lanzo Lining Services Inc,Tampa,FL,33605
12/28/16,OGonzalez Trucking Inc.,TAMPA,FL,33605
5/5/10,Tampa International Shipyard,Tampa,FL,33610
4/7/11,United Fire Protection,Lake Placid,FL,33610
10/13/11,Sams Discount Grocery,Tampa,FL,33610
6/12/12,Dynamic Concrete Solutions LLC,Tampa,FL,33610
2/13/15,Florida Housekeeping,Tampa,FL,33611
8/11/15,Total Scapes Inc,Tampa,FL,33611
3/11/11,Westfalia Technologies,Tampa,FL,33612
9/10/11,Adventure Island,Tampa,FL,33612
5/12/11,The Fishel Company,Tampa,FL,33613
4/9/16,Spivey Utility Construction Co,Tampa,FL,33613
3/3/16,Liberty Land Management Inc,Tampa,FL,33618
5/9/11,Uniqco Group,Tampa,FL,33619
1/10/12,Southwest Signal,Tampa,FL,33619
1/31/12,Backwoods Inc.,Tampa,FL,33619
4/20/13,American Painters Inc.,Tampa,FL,33626
7/12/16,Jose Alfredo Jimenez-Gonzalez,Tampa,FL,33629
1/23/10,Cooper-Vennette Property Services inc.,Tampa,FL,33634
9/9/15,Lane Construction Corporation,Tampa,FL,33634
4/18/17,Fedex Ground,TAMPA,FL,33634
9/27/13,Bill Moen,Tampa,FL,33664
11/3/16,Adelo & Fernanda Construction Inc,"Petersburg,",FL,33701
6/9/11,Frontier Industrial Corp.,St. Petersburg,FL,33702
4/24/13,Progressive Environmental Services Inc.,St. Petersburg Beach,FL,33706
3/28/13,Spectrum Contracting Inc.,St. Petersburg,FL,33710
10/7/15,RAB Foundation Repair LLC,St. Petersburg,FL,33710
12/9/09,Anderson & Shah Roofing,Inc. of Florida Clearwater,FL,33761
2/15/10,Carr & Sons,Clearwater,FL,33767
12/18/11,Traffic Services,Palm Harbor,FL,33772
12/28/11,JFS Food Mart,Seminole,FL,33772
3/18/10,Munday Machinery,Lakeland,FL,33809
6/11/16,Charter Communications,Auburndale,FL,33823
12/1/11,Central Florida Irrigation Services,Avon Park,FL,33825
9/24/15,Quality Turf LC,Avon Park,FL,33825
5/30/16,Catfish Country Restaurant,Bartow,FL,33830
10/4/12,Central Site Development,Davenport,FL,33836
3/18/11,Richard McKenzie & Sons,Frostproof,FL,33843
10/20/15,Springer-Peterson Roofing & Sheet Metal Inc.,Frostproof,FL,33843
7/7/10,Marden Industries,Mulberry,FL,33860
12/1/11,Bevis Construction,Sebring,FL,33875
2/3/10,Apac Southeast inc.,Winter Haven,FL,33884
1/22/12,Ritchie Brothers Auction,Davenport,FL,33897
6/18/16,Brower Equipment Sales Inc,Davenport,FL,33897
4/25/17,Mastec Services Company Inc.,CORAL,FL,33904
11/23/11,DBI Services,Ft. Myers,FL,33905
7/19/15,Hampton Golf Inc.,Fort Myers,FL,33905
6/25/10,Wilcin Enterprises inc.,Fort Myers,FL,33907
3/2/17,Woodsmoke Recreational Enterprises Inc.,MYERS,FL,33908
7/3/11,Greater Miami Baseball Club Limited Partnership,Ft. Myers,FL,33912
4/12/10,Waste Management,Ft. Myers,FL,33913
6/5/16,Circle K Stores Inc,Cape Coral,FL,33914
3/6/11,Reithoffer Shows,North Fort Myers,FL,33917
12/21/09,Kenvelm,Cape Coral,FL,33919
4/21/11,Erosion Barrier Installations,Estero,FL,33928
7/16/10,Platinum Property Management,Ft. Myers Beach,FL,33931
4/14/15,Moss Marine Inc.,Fort Myers Beach,FL,33931
8/29/13,Double H Construction of Lake Okeechobee Inc.,Punta Gorda,FL,33950
4/13/16,Oldcastle APG South Inc,LeHigh Acres,FL,33971
1/11/11,Southern Gulf Citrus Inc.,Punta Gorda,FL,33982
8/31/11,J & A Loading,Naples,FL,34102
2/20/16,Jose Mares Lawn Services Inc,Naples,FL,34102
7/23/11,Imperial Lawn and Garden Care,Naples,FL,34108
9/26/15,SB Framing Service Inc.,Naples,FL,34109
11/6/12,APAC-Southeast Inc.,Naples,FL,34117
7/9/10,Benham LLC,Naples,FL,34119
5/28/16,H. Villa Construction Inc.,Naples,FL,34119
1/14/15,Aztec Concrete and Pumping Inc.,Naples,FL,34120
9/4/12,Cutting Edge Molding,Bonita Springs,FL,34133
12/26/11,Broadcast Tower & Antenna Services,Bonita Springs,FL,34135
6/15/16,Hannula Landscaping and Irrigation Inc,Bonita Springs,FL,34135
6/9/11,Heller Brother's Packing Corp,Immokalee,FL,34142
2/17/15,Negros Harvesting Inc.,Immokalee,FL,34142
1/27/10,Alko Systems inc.,Marco Island,FL,34145
8/24/16,West Coast Florida Enterprises Inc,Marco Island,FL,34145
4/3/15,Esmy Villa Construction,Bradenton,FL,34202
9/1/11,A-1 Tree Service,Bradenton,FL,34203
11/1/10,Mike S Foy Stucco LLC,Bradenton,FL,34208
11/21/12,Suncoast Environmental Services Inc.,Englewood,FL,34208
7/20/15,TruScapes Industries Inc.,Bradenton,FL,34208
10/16/09,JSJ Tile & Stone inc.,Bradenton,FL,34209
7/14/11,Gulfpoint Landscape Management LLP,Holmes Beach,FL,34217
2/25/11,Federal Marine Terminals,Palmetto,FL,34221
11/16/11,Wm. P Bearne Produce,Palmetto,FL,34221
5/14/12,Logistec USA Corp.,Palmetto,FL,34221
5/4/11,Jeff Watts Plaster & Stucco,Long Boat Key,FL,34228
7/7/16,Complete Aluminum General Contractors Inc,Longboat Key,FL,34228
10/5/10,Sutter Roofing Company,Sarasota,FL,34232
7/31/13,Florida Service Painting,Sarasota,FL,34236
2/26/15,Creative Environmental Services Inc.,Sarasota,FL,34238
7/19/11,Complete General Contractors,Sarasota,FL,34240
8/26/13,CB Construction Corp.,Sarasota,FL,34242
5/17/16,McClure Properties Ltd,Myakka City,FL,34251
6/13/16,Falkner Farms,Myakka City,FL,34251
12/13/11,Enerfab,Arcadia,FL,34266
12/28/11,Johnson Harvesting,Arcadia,FL,34266
4/25/17,EAM Harvesting LLC,ARCADIA,FL,34266
1/14/16,Graber's Excavating Inc,North Venice,FL,34275
3/31/16,Ajax Paving Industries of Florida LLC,North Port,FL,34286
1/12/17,Beech Tree Landscape Maintenance Inc.,VENICE,FL,34292
8/31/10,Anderson Columbia Co.,Crystal River,FL,34429
3/9/17,USA Tree Service LLC,HOMOSASSA,FL,34448
4/19/13,Blades of Green Inc.,Inverness,FL,34450
1/16/10,Citrus Memorial Health System,Inverness,FL,34452
1/15/10,Metal-Bilt Ocala,,FL,34474
9/29/10,Art Walker Construction,Ocala,FL,34475
4/15/11,Construction Tire Maintenance,Ocala,FL,34475
8/19/11,Econo Auto Painting and Body Shop,Ocala,FL,34475
1/6/17,Rhyno Construction Inc.,OCALA,FL,34480
5/25/12,Ocala Electric Utility,Ocala,FL,34482
2/25/15,AZS Drywall LLC,Summerfield,FL,34491
1/3/12,Krush Sports & Entertainment,Brooksville,FL,34602
11/8/11,T. Mar Enterprises S.E.,Brooksville,FL,34604
1/20/15,13838 Hays Rd American Mulch & Ground Cover,Spring Hill,FL,34610
4/1/17,Caliente Resorts LLC,LAKES,FL,34639
9/2/10,J.D. Parker & Sons Co. inc.,New Port Richey,FL,34652
3/19/10,Bottom Dollar Tree Service,New Port Richey,FL,34654
4/14/17,J.D. Parker & Sons  Co. Inc.,RICHEY,FL,34654
11/21/11,Experience Works Inc.,New Port Richey,FL,34668
2/21/12,Ferman BMW of Palm Harbor,Palm Harbor,FL,34684
6/30/16,3 Season's Lawn & Landscape Inc,Tarpon Springs,FL,34688
4/16/15,MagneGas Corporation,Tarpon Springs,FL,34689
2/2/17,Lester F Paulk & Sons Inc.,SPRINGS,FL,34689
4/16/13,Jim Pastor,Holiday,FL,34690
4/2/15,Service Electric Company of Delaware,Clermont,FL,34711
1/10/17,Industrial Concrete,CLERMONT,FL,34711
8/7/11,Reinhausen Manufacturing,Kissimmee,FL,34741
11/19/15,Jon Hall Company,Kissimmee,FL,34741
7/9/10,Buenavista Construction Inc.,Kissimmee,FL,34747
10/16/15,Lane Construction,Ocoee,FL,34761
7/26/12,Beyers Welding Inc.,Saint Cloud,FL,34772
10/14/15,Tree Trimming by Kevin Saxton Inc.,Winter Garden,FL,34777
6/15/15,Robert Wallick Associates Inc.,Winter Garden,FL,34787
4/27/11,Mike Smith,Ft. Pierce,FL,34945
1/6/12,Bernard Egan & Company,Ft. Pierce,FL,34946
8/6/13,Lucas Marine Construction LLC,Fort Pierce,FL,34950
6/9/12,Recycling Services of Indiantown LLC,Indiantown,FL,34956
2/20/11,Davis Specialties Services,Okeechobee,FL,34972
6/5/15,C & M Rucks Dairy,Okeechobee,FL,34972
10/19/15,SK Services LLC,Okeechobee,FL,34972
3/16/16,Evans Properties Inc,Okeechobee,FL,34972
11/3/11,Lykes Bros.,Okeechobee,FL,34974
5/12/11,Menzi USA Sales,Ft. Pierce,FL,34982
4/16/13,L & A Trucking Co. Inc.,Moody,AL,35004
7/2/10,Grays Tree Service,Alabaster,AL,35007
5/16/11,Russell Brands,Alexander City,AL,35010
4/22/13,G&H Steel,Alexandria City,AL,35010
8/24/10,Robert Cobb Inc.,Bessemer,AL,35020
12/16/15,Circle K Stores Inc.,Bessemer,AL,35020
7/20/15,Vulcan Pipe & Steel Coatings Inc.,Bessemer,AL,35021
6/14/10,McJunkin Red Man Company - Labarge,Hueytown,AL,35023
3/14/11,Valley Transportation,Hueytown,AL,35023
3/11/15,Brent Industries,Brent,AL,35034
2/22/12,Alabama Forklift & Repair Inc.,Clanton,AL,35045
8/31/15,Stella-Jones Corporation,Clanton,AL,35045
10/26/12,Southeast Culvert Inc.,Cleveland,AL,35049
4/12/15,MB Erectors Inc.,Cullman,AL,35055
2/4/10,Long Foundation Drilling Co.,Cullman,AL,35057
2/16/16,Chapel Ridge of Gardendale LTD,Gardendale,AL,35071
6/27/16,Pascual Maldonado,Gardendale,AL,35071
10/31/16,L.E. Bell,"Helena,",AL,35080
3/6/12,Daniel Smith,Holly Pond,AL,35083
9/2/12,AJ's Transport LLC,Lincoln,AL,35096
3/4/16,Gestamp Alabama LLC,Mc Calla,AL,35111
10/20/11,Hilltop Tune,Pelham,AL,35124
1/5/10,Flour Maintenance Service,Inc. Quinton,AL,35130
8/10/10,Clements Dean Building Company,Talladega,AL,35160
4/4/16,Lainiere De Picardie Inc,Talladega,AL,35160
9/12/11,Stella-Jones,Warrior,AL,35180
6/1/12,Beasley Timber Co. Inc.,Birmington,AL,35207
8/31/13,L & M Painting LLC,Irondale,AL,35210
9/1/13,L & M Painting LLC,Irondale,AL,35210
6/30/16,Hardy Construction,Birmingham,AL,35215
3/2/11,R & L Carriers,Birmingham,AL,35217
3/27/11,ABC Coke-Division of Drummond Company,Tarrant,AL,35217
5/22/13,Star Construction LLC,Birmingham,AL,35222
1/20/15,TE Stevens Company Inc.,Birmingham,AL,35233
2/2/12,Southland Tube Inc.,Birmingham,AL,35234
5/9/13,Southland Tube Inc.,Birmingham,AL,35234
4/27/17,Randolph & Randolph LLC,HOOVER,AL,35244
7/22/15,Harpole Steel Buildings Inc.,Cottondale,AL,35401
7/6/12,West Alabama Mechanical,Tuscaloosa,AL,35404
10/23/14,Nucor Steel Tuscaloosa Inc.,Tuscaloosa,AL,35404
9/21/11,Otis Elevator Company,Brookwood,AL,35444
11/28/16,Santos Gutierrez Lion Steel LLC,COTTONDALE,AL,35453
3/2/16,ST Bunn Construction Co,Knoxville,AL,35469
12/31/10,Kykenkee,Vance,AL,35490
6/26/15,Bridgestone Americas Tire Operations LLC,Jasper,AL,35501
9/5/12,Tidco Transportation Inc.,Double Springs,AL,35553
2/22/16,22551 Highway 195 South,DOUBLE SPRINGS,AL,35553
4/27/11,Wrangler VF Jeanwear,Hackleburg,AL,35564
6/13/16,The Bridge Builders of Alabama LLC,Parrish,AL,35580
3/3/12,Tire Centers LLC,Decatur,AL,35601
11/19/14,Bobby McDuffee,Decatur,AL,35601
10/28/15,Independence Tube Corporation,Decatur,AL,35601
12/11/10,Wayne Farms,Decatur,AL,35602
10/5/11,Wayne Farms,Decatur,AL,35602
6/24/15,Federal-Mogul Corporation,Athens,AL,35613
6/20/16,Cracker Barrel Old Country Store Inc,Athens,AL,35613
7/16/12,J.C. Hamm & Sons,Florence,AL,35630
4/11/16,TVA - Wilson Hydroelectric Dam,Muscle Shoals,AL,35661
10/5/15,AWP Solutions LLC dba AWP Roofing,Tuscumbia,AL,35674
2/6/15,Ultratec Special Effects Inc.,Owens Cross Roads,AL,35763
7/14/16,Eskola LLC,Huntsville,AL,35801
11/10/15,Giles & Kendall Inc.,Huntsville,AL,35804
12/2/10,Professional Metal Roofs,Huntsville,AL,35805
5/5/10,Amtec Corporation,Huntsville,AL,35898
12/29/15,McCartney Construction Company,Glencoe,AL,35905
1/7/16,Good Hope Contracting,Attalla,AL,35954
12/22/10,Quality Construction,Boaz,AL,35957
9/19/13,R & J Construction Inc.,Fort Payne,AL,35967
6/6/11,Southern Tree Services,Gunthersville,AL,35976
6/15/11,Stafford Development & Construction,Guntersville,AL,35976
11/4/14,Weaver & Weaver Construction,Guntersville,AL,35976
6/26/15,Hallmark Construction,Guntersville,AL,35976
1/20/16,David Bulger Inc.,Elmore,AL,36025
10/28/10,Strickland Lumber Company,Eufaula,AL,36027
3/23/16,All About Towing & Hauling,Greenville,AL,36037
11/20/15,Advanced Blasting,Luverne,AL,36049
7/14/10,Simcals Inc.,Mount Miegs,AL,36057
4/21/16,Newell & Bush Inc.,Pike Road,AL,36064
3/16/17,Newell & Bush Inc.,LEVEL,AL,36065
12/8/11,The Davey Tree Expert Company,Pratville,AL,36067
1/11/10,Davey Tree Experts Company Tallassee,,AL,36078
1/25/12,Delta Properties LLC,Tallassa,AL,36078
11/8/10,K & W Recycling,Troy,AL,36081
2/20/15,Jerry Spurlock Iron & Metal  Company,Troy,AL,36081
3/17/16,Ivan Caldwell Logging Inc,Troy,AL,36081
1/23/10,Bradley Plumbing and Heating inc.,Tuskegee,AL,36088
4/27/11,Hudmon Construction Co.,Montgomery,AL,36104
2/3/17,United Plumbing of Montgomery Inc.,MONTGOMERY,AL,36105
1/15/16,W.L. Petrey Wholesale Co,Montgomery,AL,36108
4/26/16,Dean Transportation Inc,Montgomery,AL,36109
2/25/16,1633 Williams Road,MONTGOMERY,AL,36110
5/24/16,Tillery Heating and Air Conditioning,Montgomery,AL,36110
5/3/11,ITT Corporation,Maxwell AFB,AL,36112
6/20/10,Professional Facilities Management inc.,Montgomery,AL,36116
5/16/11,Dillards Department Store,Montgomery,AL,36117
6/10/11,Marjam Supply of Alabama,Montgomery,AL,36117
11/7/12,Anniston Army Depot,Anniston,AL,36201
9/6/16,U.S. Army Material Command,Anniston,AL,36201
5/16/12,C & M Tree Experts,Dothan,AL,36301
9/23/10,L & K Contracting Company inc.,Enterprise,AL,36330
5/13/11,Lee's Tree Trimming & Tree Removal,Enterprise,AL,36330
5/20/11,Lowes,Enterprise,AL,36330
5/8/15,Tolbert Tree Service & Stump Grinding,Enterprise,AL,36330
8/22/16,Buddy Barfield,Geneva,AL,36340
4/16/12,Precision Erection Company,Fort Rucker,AL,36362
9/22/16,Contract Lighting,Slocomb,AL,36375
10/21/10,Qualico Steel Company,Webb,AL,36376
4/11/11,RDA Service Company,Webb,AL,36376
3/18/15,Byrd Contractors Inc.,Andalusia,AL,36420
12/3/10,Air Control,Andalosia,AL,36421
3/7/17,Shaw Industries Group Inc.,ANDALUSIA,AL,36421
9/26/12,Advanced Recycling Center,Brewton,AL,36426
9/26/12,Advanced Recycling Center,Brewton,AL,36426
1/18/17,Creamer Dozer Service Inc.,BREWTON,AL,36426
3/25/16,Covington Distribution Services LLC,Opp,AL,36467
2/19/15,Steiner Construction Company Inc.,Bayou La Batre,AL,36509
11/30/11,Inoxum,Calvert,AL,36513
3/6/12,National Steel City LLC,Calvert,AL,36513
2/13/15,John G. Walton Construction Company Inc.,Chunchula,AL,36521
9/13/11,Foxworth Forestry Consultants,Coffeeville,AL,36524
5/16/13,Mega Construction Co. Inc.,Daphne,AL,36526
9/29/13,Mega Construction Co Inc.,Daphne,AL,36526
6/1/16,Reelentless Construction LLC,Orange Beach,AL,36561
5/16/13,Magnetech Industrial Services Inc.,Saraland,AL,36571
8/28/15,Black Sheep Woodlands LLC,Stockton,AL,36579
9/23/13,Southern Gas and Supply,Theodore,AL,36582
1/28/16,Mobile Asphalt Co,Theodore,AL,36582
12/29/11,CSA Equipment Company LLC,Mobile,AL,36601
10/17/11,PCH Hotels and Resorts,Mobile,AL,36602
4/24/13,Oil Recovery Co. Inc.,Mobile,AL,36602
9/7/13,Premier Bulk Stevedoring LLC,Mobile,AL,36602
6/16/16,Austal USA LLC,Mobile,AL,36602
8/22/16,H.H. Jordan Construction Company Inc,Mobile,AL,36603
12/21/15,Soot Away Chimney Sweep & Masonry,Mobile,AL,36619
4/3/13,BAE Systems Southeast Shipyard,Mobile,AL,36652
6/13/11,Crown Health Care Laundry,Selma,AL,36702
12/28/16,C & H Trucking Inc.,DEMOPOLIS,AL,36732
10/30/16,SABIC Innovative Plastics,"Burkville,",AL,36752
3/24/12,Fire Brick Engineers Company Inc.,Marlon,AL,36756
4/6/15,Lower Dixie Timber Co. Inc.,Thomasville,AL,36762
8/13/15,Gene McCormick,Tyler,AL,36785
6/25/16,Ricky Posey,Tyler,AL,36785
12/31/14,Green Group Holdings LLC,Uniontown,AL,36786
2/8/10,East Alabama Paving Company inc.,Opelika,AL,36804
11/19/10,Rexnore Industries,Auburn,AL,36832
2/27/12,Gulf Equipment Corporation,Auburn,AL,36849
6/19/16,Joon llc,Cusseta,AL,36852
6/12/10,Top Notch Cleaners,Valley,AL,36854
12/31/12,Strickland Tree Service,Phenix City,AL,36870
8/11/15,Burkes Mechanical Inc.,Pennington,AL,36916
5/10/10,Mr. Bult's Inc.,Antioch,TN,37013
9/21/15,Southland Brick and Block Antioch,,TN,37013
1/24/17,A & D Plumbing,"Antioch,",TN,37013
11/29/10,Trinity Marine Products Inc.,Ashland City,TN,37015
12/21/09,Building For You Brentwood,,TN,37027
12/11/10,Tractor Supply Company,Brentwood,TN,37027
4/6/17,Builders First Source,"Franklin,",TN,37027
10/20/16,Superior Traffic Control Inc.,"Christiana,",TN,37037
4/13/17,Superior Traffic Control Inc.,"Christiana,",TN,37037
3/3/15,Morgan,Clarksville,TN,37040
6/29/16,Central Construction llc,Clarksville,TN,37042
8/13/10,QuadGraphics,Dickson,TN,37055
10/25/11,Dickson Dept. of Public Works,Dickson,TN,37055
1/31/11,Hoeganaes Corporation,Gallatin,TN,37066
11/18/14,Sequatchie Concrete Services Inc.,Brentwood,TN,37067
4/17/13,Five Star Lawn and Landscape,Goodlettsville,TN,37072
4/18/13,Thorne's Excavating Company LLC  and N & S Waterproofing LLC,Hendersonville,TN,37075
9/26/16,Gregory Greig,"Hendersonville,",TN,37075
10/2/15,Middle Tennessee Recycling,Hermitage,TN,37076
1/27/12,Ventrue Trucking,Lavergne,TN,37086
2/28/12,Jennings Farms,LaVergne,TN,37086
6/24/13,Greathouse Landscape Company Inc.,LaVergne,TN,37086
7/12/13,Bridgestone Americas Tire Operations LLC,La Vergne,TN,37086
1/21/16,Main Street Renewal LLC,Vergne,TN,37086
10/13/11,Walden General Contractors Inc.,Lebanon,TN,37090
4/10/17,Jimmy Self dba Jimmy Self Logging,"Liberty,",TN,37095
12/21/16,Jamison Construction LLC,"McEwen,",TN,37101
7/14/15,Metropolitan Government of Nashville and Davidson County ? Public Works Nashville,,TN,37115
2/2/17,Metro Nashville Police Department,"Madison,",TN,37115
9/11/12,Elba Diaz,Mt. Juliet,TN,37122
9/1/10,J & E Electric,Murfeesboro,TN,37128
6/1/15,Thor Sport Farm,Murfreesboro,TN,37128
10/28/10,A&B Restoration,Murfreesboro,TN,37129
7/25/16,NFI Inc.,Murfreesboro,TN,37129
3/16/17,Orgain Ready Mix Concrete Co. Inc.,"Murfreesboro,",TN,37129
12/18/15,Jesus Aguado Rangel,Murfreesboro,TN,37130
3/28/16,B & J Builders,Murfreesboro,TN,37130
5/23/11,Frank Cross dba Cross Cut Tree Service,Old Hickory,TN,37135
12/2/10,Sharps Mill Forest Products,Palmyra,TN,37142
6/16/13,Nissan North America Inc.,Smyrna,TN,37167
11/16/16,Nissan North America,"Smyrna,",TN,37167
4/25/13,Complete Automation Inc.,Smyrna,TN,37168
1/6/15,Hail & Cotton International Group, Springfield,TN,37172
3/11/15,South Central Grower,Springfield,TN,37172
2/28/11,City of White House,White House,TN,37188
6/17/12,Food Business Inc.,Nashville,TN,37206
3/9/10,Florida Rock & Tank Lines Inc,Nashville,TN,37209
4/24/15,Bennette Environmental,Nashville,TN,37209
11/24/15,Asplundh Tree Expert Co.,Nashville,TN,37209
1/22/16,Carlex Glass America llc,Nashville,TN,37209
4/12/17,Flexsol Packaging,"Nashville,",TN,37210
6/11/10,Rock Solid Security,Nashville,TN,37211
3/9/16,Pablo Villarrel,Nashville,TN,37211
7/20/16,American Constructors,Nashville,TN,37212
11/16/16,Mark Hobbs Construction,"Nashville,",TN,37214
7/2/11,Dredge and Marine Company LLC,Nashville,TN,37218
9/22/15,DRA Wyndchase-Bellevue llc,Nashville ,TN,37221
12/24/16,TDOT,"Nashville,",TN,37243
8/19/10,Nashville Electric Services,Nashville,TN,37246
7/26/15,Walker Die Casting,Lewisburg,TN,37291
1/18/17,Big Woody's Tree Service LLC,"Apison,",TN,37302
10/21/10,Wright Brothers Construction Company,Charleston,TN,37304
9/24/12,Traffic Specialists,Inc. Calhoun,TN,37309
10/10/12,Baker Concrete Construction - Northern Operation Division,Charlston,TN,37310
3/18/10,Simpson Bridge Company Inc.,Clevland,TN,37311
6/23/16,Custom Mechanical Contractors Inc.,Cleveland,TN,37312
7/19/16,Traffic Management USA llc,Coker Creek,TN,37314
8/21/12,Yumoto Company Ltd,Dechard,TN,37324
12/2/15,Town of Scotts Hill,Decherd,TN,37324
7/19/16,Fastenal,Fayetteville,TN,37334
6/30/10,Atlas Roofing,Harrison,TN,37341
3/26/12,Gilley Construction Inc.,Manchester,TN,37355
10/27/14,Frank Garretson,Morrison,TN,37357
6/15/15,Morrison Tank,Morrison,TN,37357
4/3/13,Paladin Attachments,Ooltewah,TN,37363
11/18/14,Sequatchie Concrete Services Inc.,South Pittsburg,TN,37380
8/4/10,The Nexus Group,Tullahoma,TN,37388
2/3/15,Wrigley Manufacturing Co.,Chattanooga,TN,37401
9/21/15,Total Building Maintenance Inc.,Chattanooga,TN,37402
2/17/15,Stellar Management,Chattanooga,TN,37403
5/10/13,Astec Inc.,Chattanooga,TN,37407
6/5/15,Jake Marshall Company,Chattanooga,TN,37407
2/26/16,Goodwill Industries,Chattanooga,TN,37407
6/6/13,Jake Marshall Service Inc.,Chattanooga,TN,37412
4/8/11,E & A Construction Chattanooga,Chattanooga,TN,37421
5/7/12,TAG Manufacturing Inc.,Chattanooga,TN,37421
7/26/10,Noe Barrillas & Jorge Barillas dba Barillas Drywall,Chattanooga,TN,37450
11/12/10,Mountain States Contractors,Memphis ,TN,37501
1/2/12,Hurling Erection and Construction Inc.,Jacksboro,TN,37577
12/24/16,Barnard Roofing Company Inc.,"City,",TN,37601
10/15/11,Sergio Arroyo-Contreras dba SAC Hands,Gray,TN,37615
11/17/09,Bristol Tennessee Essential Services,Bristol,TN,37620
7/15/16,Don's Landscaping,Bristol,TN,37620
7/15/16,Donâ€™s Landscaping,Bristol,TN,37620
6/27/11,United Telephone Southeast,Erwin,TN,37650
11/5/10,Tri City Wastepaper,Kingsport,TN,37660
2/9/12,Summers-Taylor Inc.,Kingsport,TN,37660
