incident_date,company,city,state,zipcode
4/13/17,Contract Framing Builders Inc.,NORWOOD,MA,02062
9/4/16,Hallamore Corp,Boston,MA,02118
4/13/13,Feeney Brothers Excavation LLC,Dorchester,MA,02121
11/19/09,West Selden Construction,Boston,MA,02122
11/8/16,"Rockwell Roofing,Inc.",DORCHESTER,MA,02125
12/28/09,SMM Business Corp. dba Tedes Chi Food Shop Jamaica Plein,,MA,02130
11/25/14,Erik Zutrau,Jamaica Plain,MA,02130
9/1/10,Dominos Pizza,Hyde Park,MA,02136
1/23/13,C.J. Mabardy Inc.,Cambridge,MA,02138
7/11/12,Far East Construction Inc.,Cambridge,MA,02139
2/26/16,44 Powder House Boulevard,SOMERVILLE,MA,02143
6/11/15,Liberty Construction LLC,Somerville,MA,02145
12/9/10,Shawn Smith Contracting,Everett,MA,02149
2/1/11,O'Connor Corporation,Everett,MA,02149
1/20/11,North Suffolk Mental Health Association,Revere,MA,02151
8/13/15,Caruso Construction and Equipment Company Inc.,Revere,MA,02151
5/16/11,Mullins Marine Service,Winthrop,MA,02152
6/3/11,Kilderry Painting,Winthrop,MA,02152
6/28/16,Hi-Way Safety Systems Inc,Medford,MA,02153
2/9/15,Whole Foods Bread & Circus Bakehouse,Medford,MA,02155
9/17/15,Martignetti Companies,Braintree,MA,02184
11/17/09,Enterprise Holdings,Weymouth,MA,02188
7/12/10,Boston University,Boston,MA,02218
10/23/09,David Gooding Inc.,Brockton,MA,02302
11/29/10,Kevin Leary,Duxbury,MA,02332
11/19/16,Dan Orwig,DUXBURY,MA,02332
7/28/11,Jeremiah O'Mahony Paint Company,Abington,MA,02351
7/23/13,Diaz Construction Co. Inc.,Plymouth,MA,02360
6/30/15,P.A. Landers,Plymouth,MA,02360
10/31/16,Hi-Way Safety Systems Incorporated,"Rockland,",MA,02370
3/23/17,Shannon Gutter Services,WALTHAM,MA,02451
7/25/13,James McNally Roofing and Siding,Sandwich,MA,02563
2/5/11,CCAPS,Belmont,MA,02578
11/2/09,McCabe Tree Service,Harwich,MA,02645
11/30/10,Advanced Imaging Technologies,West Yarmouth ,MA,02673
1/24/17,The Stop & Shop Supermarket Company LLC,ASSONET,MA,02702
11/18/14,ABC Disposal Service Inc.,New Bedford,MA,02745
9/3/10,Back Nine Club llc,Lakeville,MA,02747
2/17/16,The Convertible Castle Inc,Norton,MA,02766
12/21/09,Estes Express Lines,Seekonk,MA,02771
12/16/11,Tribe Mediterranean Foods,Taunton,MA,02780
8/17/15,Skyline Contracting and Roofing Corporation,Taunton,MA,02780
9/4/15,MAS Building & Bridge Inc.,Taunton,MA,02780
11/26/16,Earth Scape Inc.,GREENWICH,RI,02817
12/18/09,Gabe's Services,Inc. Rockville,MD,02850
3/15/11,Composite Rigging Limited and Company,North Kingstown,RI,02852
10/18/11,Complete Coverage Inc.,North Kingstown,RI,02852
7/15/13,International Door Inc.,North Kingstown,RI,02852
2/11/17,XPRESS SWEEPING,WARWICK,RI,02886
5/19/10,Post Road Fuel Incorporated,Warwick,RI,02888
7/1/10,J. Pacheco Landscaping,Westerly,RI,02891
6/20/11,Fernandes Construction,Woonsocket,RI,02895
10/19/15,Victor M. Diaz,Woonsocket,RI,02895
5/28/13,C. R. England,Providence,RI,02908
8/23/16,Home Care Advantage Inc.,Cranston,RI,02910
8/31/13,Russo Brothers Construction LLC,Johnston,RI,02919
10/5/14,De Balsi Tree & Landscape Inc.,Johnston,RI,02919
5/24/16,City Fuel Company Inc.,Londonderry,NH,03038
6/3/13,Wilkins Lumber Company Inc.,Milford,NH,03055
11/21/14,Casella Waste Systems Inc.,Salem,NH,03079
12/19/15,Sears Operations LLC,Salem,NH,03079
7/7/11,Southern New Hampshire Services Inc.,Manchester,NH,03103
8/24/10,PR Management Corp. dba Panera Bread,Bedford,NH,03110
9/24/16,New London Bridge Christian Fellowship,North Sutton,NH,03260
6/14/12,Sugar Farms Co-op,South Bay,FL,03349
11/24/14,K & L Lawn Care,Troy,NH,03465
7/13/16,Global Truck Traders Inc,Winchester,NH,03470
7/26/10,APC Paper Co.,Claremont,NH,03473
12/3/15,Dougs Towing LLC,Newmarket,NH,03857
11/4/14,Shaw Brothers Construction Inc.,York,ME,03909
6/7/16,AFY Interior System LLC,Biddleford,ME,04005
9/21/11,Stevens Electric & Pump Service,Kennebunkport,ME,04046
1/16/12,Hawkeye,Scarborough,ME,04074
1/20/17,State of Maine,"Portland,",ME,04107
6/3/11,Hascall & Hall,Auburn,ME,04210
11/2/12,American Concrete Industries Inc.,Auburn,ME,04210
10/27/15,Casella Waste Systems Inc.,Lewiston,ME,04240
8/19/13,Moark LLC,Turner,ME,04282
1/24/16,Southern Erectors Inc.,Chouteau,OK,04337
12/23/15,Second Nature Tree Service,Jefferson,ME,04348
7/28/11,Bowdoin Excavation LLC,Bangor,ME,04401
9/9/15,Penn National Gaming Inc.,Bangor,ME,04401
6/26/12,General Motors Corp.,Cleveland,OH,04413
6/1/10,Francois Lessard,T3R13,ME,04462
6/2/15,Richard Carrier Trucking Inc.,Old Town,ME,04468
5/7/13,Harvey Paving & Sealcoating,Orono,ME,04469
4/19/11,Larry Eckert & Son,Orrington,ME,04474
7/12/11,H.C. Haynes,Winn,ME,04495
12/5/10,Odyssey Contracting Corp.,Sedgwick,ME,04676
10/3/12,Snow Road Farms,Bridgewater,ME,04735
10/3/12,Snow Road Farms,Bridgewater,ME,04735
12/18/09,Cyr Construction Company,Presque Isle,ME,04769
3/22/10,Columbia Forest Productions,Presque Isle,ME,04769
9/1/16,Ferraiolo Construction Inc,Rockport,ME,04856
7/1/12,R.G. Lumber Corp.,Jackman,MA,04945
7/2/12,R.G. Lumber Corp.,Jackman,MA,04945
3/3/17,Sugarloaf Mountain Corporation,VLY,ME,04947
7/22/12,HIMR Inc.,Plymouth,VT,05056
2/16/16,New England Tree Experts,Thetford,VT,05074
8/10/15,J. E. M. Home Improvements,Center,VT,05255
9/13/16,All Industrial Services,Brattleboro,VT,05301
4/18/17,Reed & Reed Inc.,"Searsburg,",VT,05363
6/30/16,Engelberth Construction,Burlington,VT,05401
12/23/15,Fluor Facility & Plant Services Inc.,Essex Junction,VT,05452
12/23/09,Sugar Hill Farm Fairfield,,VT,05455
6/19/15,Rainville Custom Crops,Highgate Center,VT,05459
8/23/12,Myers Container Service Corporation,Barre,VT,05641
8/7/15,Vermont Agency of Human Services,Barre,VT,05641
7/19/11,Crystal Rock Amusements,Johnson,VT,05656
3/21/12,Vermont Electric Cooperative Inc.,Johnson,VT,05656
9/17/15,Vermont State Police Jericho,,VT,05671
8/28/11,City of Rutland,Mendon,VT,05701
9/25/13,Case Street Redi-Mix Inc.,Hancock,VT,05748
1/7/17,Killington/Pico Ski Resort Partners LLC,"Killington,",VT,05751
3/11/16,Green Mountain Flaggers llc,Middlebury,VT,05753
4/25/12,Adirondack Utility Construction Inc.,Middletown Springs,VT,05757
6/19/15,Camp Courant,Farmington,CT,06032
8/3/10,Hartford Distributors inc.,Manchester,CT,06040
7/13/16,Barlo Signs,Rocky Hill,CT,06067
9/13/10,Wayne's Tree Removal,Simsbury,CT,06070
3/23/16,All State Traffic Control,Somers,CT,06071
8/5/11,U.S.A. Hauling & Recycling Inc.,Enfield,CT,06082
3/19/15,Town of Tolland,Tolland,CT,06084
11/4/09,MJM Carpentry,Unionville,CT,06085
5/27/10,ESCO,Windsor,CT,06095
5/12/11,DBA/ Jose Rivera,Hartford,CT,06103
10/7/14,City of Hartford Hartford,,CT,06103
10/13/14,City of Hartford Hartford,,CT,06103
10/26/09,Insituform Technologies inc.,West Hartford,CT,06107
8/26/15,McClain & Company Inc.,West Hartford,CT,06107
1/21/15,RP Remodeling LLC,Newington,CT,06111
3/23/15,Square A Farm,Lebanon,CT,06249
4/14/16,Petrowsky Auctioneers Inc,North Franklin,CT,06254
7/27/11,STCT UCONN Facilities Operations,Storrs,CT,06269
12/6/16,PAM Transport,WILLINGTON,CT,06279
10/18/09,Marlette Homes inc.,Ledyard,CT,06339
11/6/11,Suchocki & Son,Lisbon,CT,06351
10/8/09,Town of Plainfield Polic Department,Plainfield,CT,06374
9/9/13,GFW Welding & Co.,Derby,CT,06418
2/7/10,Coverflex,Middletown,CT,06457
2/7/10,Instrument Sciences and Technology,Middletown,CT,06457
2/7/10,Keystone Construction & Maintenance,Middletown,CT,06457
9/2/10,Connecticut Department of Public Safety Middletown,Middletown,CT,06457
1/23/15,Kloeckner Metals Corporation,Middletown,CT,06457
7/18/16,Rivco Construction LLC,Middletown,CT,06457
4/7/10,ADF Industries Inc.,Milford,CT,06460
6/7/10,Premier Maintenance inc.,Milford,CT,06460
5/24/10,Doran's Inc.,North Haven,CT,06473
6/7/10,Travel Centers of America,North Haven,CT,06473
7/3/10,Town of Shelton Police Department,Shelton,CT,06484
7/23/12,Tayco Corp.,Wallingford,CT,06492
9/13/10,Fast Trek Steel Inc.,New Haven,CT,06510
5/2/15,414 Chaple Street NEW HAVEN O & G Industries,New Haven,CT,06511
7/21/11,Die-Cut Paper Company,West Haven,CT,06516
5/28/13,NYS MTA Metro-North West Haven CT Station,West Haven,CT,06516
11/13/09,O&G Industries inc.,Hamden,CT,06518
6/21/16,Pereira & Sons Constructions Inc,New Haven,CT,06519
7/24/10,City of Bridgeport Fire Department,Bridgeport,CT,06605
3/26/15,Burns Construction Company Inc.,Bridgeport,CT,06606
10/29/12,Easton Volunteer Fire Company No. 1 Inc.,Easton,CT,06612
8/10/10,Clarence Welti Associates inc.,Waterbury,CT,06708
2/24/10,Gaudiosi Hauling Inc.,Wolcott,CT,06716
5/24/10,GBC Metals LLC.,Waterbury,CT,06720
12/29/09,U.S. Postal Service Bethlehem,,CT,06751
6/4/16,Milton Suqui,Danbury,CT,06811
4/11/16,Jose Nabor,Darien,CT,06820
12/7/09,R.C. Torre Construction Corporation Inc.,Greenwich,CT,06830
1/7/13,Lopez Landscaping,Greenwich,CT,06830
11/1/10,Edwin Sousa Construction,Greenwich,CT,06831
6/4/13,G&G Enterprises LLC,Westport,CT,06880
8/23/16,H. Grant Construction LLC,Westport,CT,06880
12/4/16,David's Restoration,WESTPORT,CT,06880
6/9/16,K.T.I Utility Construction & Maintenance LLC,Wilton,CT,06897
10/25/11,American Building,Stamford,CT,06902
7/12/12,Welding Services Inc.,Stamford,CT,06902
8/6/13,O & G Industries Inc.,Stamford,CT,06902
7/25/12,Circle Rubbish Removal Inc.,Avenel,NJ,07001
3/9/17,North American Marine & Security Services LLC,BAYONNE,NJ,07002
1/10/13,H. William Paving LLC,Fairfield,NJ,07004
10/1/14,Bednar Landscape Services Inc.,Boonton,NJ,07005
11/13/10,Dunrite LLC,West Caldwell,NJ,07006
11/24/14,A. Duie Pyle,Carteret,NJ,07008
5/2/16,Revan Inc.,Carteret,NJ,07008
12/30/14,Cliffside Park Police Department,Cliffside Park,NJ,07010
2/17/11,Joseph M. Sanzari Inc.,Clifton,NJ,07012
4/6/15,Borough of Fairview,Fairview,NJ,07022
1/20/12,Garfield Lumber and Millwork,Garfield,NJ,07026
2/5/15,Comcast NBC Universal Inc.,Glen Ridge,NJ,07028
7/14/15,AJ Woodworks,Glen Ridge,NJ,07028
9/25/09,Innovative Masonry llc,Hoboken,NJ,07030
7/19/13,Logram-Eastern Electric Corporation,Hoboken,NJ,07030
4/23/10,Clean Earth of North Jersey inc.,Kearny,NJ,07032
5/25/12,Hummel Machine & Tool Co.,Kearny,NJ,07032
8/22/12,New Jersey Transit Heavy Rail Kearny,,NJ,07032
5/6/11,JA Alexander Inc.,Kenilworth,NJ,07033
1/29/16,Advance Machine Inc.,Linden,NJ,07036
9/30/09,Randy's Pro Landscaping Service llc,Milburn,NJ,07041
11/17/09,Valcourt Building Services,Montclair,NJ,07044
7/2/16,Orr's Tree Service LCC,Montville,NJ,07045
3/21/10,T.J.B. Logistics,Mountain Lakes,NJ,07046
8/3/11,Natal Excavating,Mountain Lakes,NJ,07046
12/3/11,Champion Construction Co.,North Bergen,NJ,07047
1/26/12,Prestige Exterior Maintenance LLC,North Bergen,NJ,07047
12/14/16,Lincoln Recycling Inc.,BERGEN,NJ,07047
6/15/15,Tran Systems,Passaic,NJ,07055
3/28/11,Bed Bath & Beyond,Port Reading,NJ,07064
8/14/13,GroundsCare Landscape LLC,Watchung,NJ,07069
9/11/13,Hartin Paint & Filler Corp.,Carlstadt,NJ,07072
12/16/11,Airserv Corporation,Union,NJ,07083
8/9/11,MVT Iron Works,Guttenberg,NJ,07093
2/2/16,Slade Elevator Inc.,Guttenberg,NJ,07093
12/27/09,Moran Towing Corp. Secaucas,,NJ,07094
5/18/12,ASAP Seamless Gutters,Secaucus,NJ,07094
11/14/11,Vollers Excavating & Construction,Newark,NJ,07102
3/24/13,Newark Brothers Inc.,Newark,NJ,07103
10/18/09,E & C Construction Oc.,Newark,NJ,07104
10/2/15,All City Construction LLC,Newark,NJ,07104
6/26/10,Ironbound Enterprises LLP.,Newark,NJ,07105
9/11/10,Paolella Pro-Fitting,Newark,NJ,07105
12/30/11,T. Fiore Demolition,Newark,NJ,07105
7/16/12,Fino Electric,Newark,NJ,07105
1/11/13,Luis Colorado,Newark,NJ,07105
